time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
3.780000000000003,-9.10873930629,5.0407608939,22.8626891571,0.217948272339,0.449316534079,0.0,-7.82574513853,3.96184619274,4.15133837618,-0.0116600517493,0.106647827524,0.0,486.33848617916,485.5789101145276,486.1862036835653,484.5925858413421
3.800000000000003,-9.26621231429,5.12033444449,22.9454577069,0.217798720355,0.451625047959,0.0,-7.92155566145,3.9955088663,4.12551659478,-0.00983085465392,0.103997866541,0.0,462.8683622105771,462.2515957480022,463.7230442098891,464.15417145702673
3.820000000000003,-9.42555983859,5.20055744375,23.0276083428,0.218424352705,0.454114051664,0.0,-8.01319676839,4.02679105945,4.08954699782,-0.0155658330988,0.0999528875619,0.0,453.8368732572917,452.8707131071154,454.5798441719487,453.19875569690225
3.840000000000003,-9.58661120194,5.28134493088,23.1087637933,0.219531896175,0.456129680082,0.0,-8.09193956632,4.05195765306,4.02599804993,-0.0080322811297,0.0991387458895,0.0,425.0341126699871,424.833777748322,423.4090097087172,425.3497199051432
3.860000000000003,-9.74947997518,5.36274065836,23.1891157536,0.219920203412,0.45846351396,0.0,-8.19493775823,4.08761509519,4.00919798019,-0.0127182297415,0.102886059382,0.0,474.26153397329307,475.1322257901944,474.5048641389208,473.424242761701
3.880000000000003,-9.91427835955,5.44478742889,23.2688553021,0.220334742535,0.460607134052,0.0,-8.28490067797,4.11706195833,3.96475687559,-0.00754559514365,0.104739692626,0.0,447.66659940485187,448.1281104953219,445.29117722727887,446.55934595822634
3.900000000000003,-10.0807844781,5.52737871856,23.3475094836,0.220268134824,0.462787980845,0.0,-8.3657111755,4.14206700829,3.90066127664,-0.00938194142649,0.10288439815,0.0,426.6330465521115,426.167471732379,426.1188946936868,425.6476378294032
3.920000000000003,-10.2490866655,5.61054414188,23.425217873,0.220278146383,0.467632608353,0.0,-8.46450756604,4.17447532351,3.8701776637,-0.0121937051992,0.113442692605,0.0,461.12775036217704,463.6326539257739,462.8883860437529,462.2240175223999
3.940000000000003,-10.4192014328,5.694279995,23.501974396,0.222506964107,0.469930134485,0.0,-8.54696916761,4.19910998876,3.8054746349,-0.0221389388886,0.112371762531,0.0,426.89098909374695,426.6286914090191,428.66098481809314,426.11726661377213
3.960000000000003,-10.591223315,5.77861910077,23.5779156931,0.222756398741,0.478003857319,0.0,-8.65521904893,4.23480058796,3.788655074,-0.0168769491066,0.127637787008,0.0,476.4354170432696,479.93546083645924,477.546718754712,478.74972234743285
3.980000000000003,-10.7651525805,5.86355248063,23.6529957985,0.222738856332,0.480616998205,0.0,-8.73770750194,4.25853739803,3.71935546495,-0.0132992595001,0.126083629412,0.0,423.953062933534,423.567865260865,424.89931212530894,425.8188744651152
4.000000000000003,-10.9408991237,5.9490265713,23.7269865022,0.222489234504,0.483506217212,0.0,-8.83694681542,4.28887166976,3.67971490867,-0.0124902264509,0.122249329378,0.0,458.299118328198,457.39760142841186,456.61619703930546,456.80996587719216
4.020000000000002,-11.1186257582,6.03509931929,23.8001561126,0.222240832495,0.486744611293,0.0,-8.93571663549,4.3184031283,3.63724612302,-0.0122533703725,0.116615831378,0.0,456.83730255745843,455.50038564069337,454.26624021529716,454.32336052124225
4.040000000000002,-11.2983965036,6.12178505096,23.8725824806,0.225822837349,0.48908079029,0.0,-9.04135790449,4.35017003934,3.60539068116,-0.0246260374437,0.116222773148,0.0,466.8778751403565,466.79729606423916,469.1966441032792,466.3052312090136
4.060000000000001,-11.4801643069,6.20905844841,23.9441404935,0.225550819878,0.491555615064,0.0,-9.13542243036,4.37716970563,3.55041061128,-0.0216561668863,0.118675276456,0.0,444.1047937316268,444.7201567632979,443.4114184382689,444.1429193915934
4.080000000000001,-11.6637525233,6.29684065404,24.0144702817,0.227878252644,0.494190562943,0.0,-9.22339920695,4.40105085731,3.482568205,-0.0111479679855,0.115441440654,0.0,429.5676124834392,428.75706249891033,430.59596224351156,433.25556799670505
4.1000000000000005,-11.8490583186,6.38508097102,24.0833495739,0.22913031984,0.496499631707,0.0,-9.30718032175,4.42298084094,3.40536101845,-0.0188291828789,0.115539410137,0.0,421.2775109435402,421.3156391359935,420.8511899584439,418.85124631981466
4.12,-12.0360490878,6.47376041205,24.1506849664,0.231304562164,0.499798143531,0.0,-9.39189659417,4.44496326182,3.32817822886,-0.00872804238648,0.109253796019,0.0,421.4188015502301,419.79783519994606,420.10429855828306,422.7247369339269
4.14,-12.2249503611,6.56296756326,24.2168432806,0.231366729261,0.503424962263,0.0,-9.49823074364,4.47575185958,3.28765319213,-0.0118052355558,0.116847853726,0.0,461.06511505198193,462.872141054081,462.55992304258706,461.8322433496227
4.159999999999999,-12.4160017628,6.652793737,24.2822099506,0.231464614639,0.505832213681,0.0,-9.60690942617,4.50686551392,3.24901381066,-0.015460314699,0.115171019285,0.0,464.5078633483151,464.1246650410203,466.7399024109544,465.88318158473
4.179999999999999,-12.6093901722,6.74330417602,24.3470716825,0.231644566015,0.50995055056,0.0,-9.73193151,4.54417838793,3.23715937397,-0.0110369328686,0.106650651939,0.0,495.0162097034927,493.1414850585741,492.7732865122005,493.7536915948469
4.199999999999998,-12.8052188577,6.83452885896,24.4115646298,0.232815854824,0.513424392715,0.0,-9.85093703745,4.57828990599,3.2121353564,-0.00357495600773,0.0993271852267,0.0,482.38109114020403,480.7276332101507,482.2725010513383,483.9610651217842
4.219999999999998,-13.0034576657,6.92644331497,24.4755849658,0.233473857091,0.515501650065,0.0,-9.97294376412,4.61315569561,3.18989824338,-0.00897681267747,0.101232059447,0.0,486.4367699914178,486.87220364292,487.5647928090485,486.35222370157237
4.2399999999999975,-13.2038314214,7.018925726,24.5386168271,0.233295320742,0.517690227173,0.0,-10.0644318064,4.63508540679,3.11328788319,-0.00917680308065,0.103792808708,0.0,429.69399646914394,430.35424174212034,430.04771447663387,429.9969910445106
